,$Dp_b$,$F_b$,LUMO_character,$R_b$,$D_b$,$Nd_b$,$Ce_a$,LUMO_element,$Fi_b$,$(En)diff_{ab}$,$(En)diff_{cb}$,$o$,$y$
75,192.0,3,4,0.96,7.52,0,1.72,62,544.5,0.21999999999999997,2.27,0.6857142857142857,1
127,66.0,4,3,0.67,12.4,8,1.35,45,719.7,0.6299999999999999,1.1600000000000001,0.47857142857142865,0
118,38.67,4,3,0.74,7.13,10,3.89,46,906.4,0.5500000000000003,1.79,0.5285714285714286,0
167,68.0,4,2,0.65,7.44,5,1.51,16,717.3,0.24,1.03,0.3532608695652174,0
91,50.0,5,3,0.62,5.91,0,4.39,27,578.8,0.06999999999999984,1.63,0.4428571428571429,0
108,100.0,4,3,0.765,4.54,2,3.39,22,658.8,0.07000000000000006,1.9,0.5464285714285715,0
106,87.0,4,3,0.64,6.11,3,1.35,23,650.9,0.020000000000000018,1.81,0.4571428571428572,0
255,83.0,4,3,0.62,7.15,5,0.67,24,652.9,0.3400000000000001,0.9200000000000002,0.33695652173913043,0
275,163.0,3,2,0.91,8.55,0,1.51,34,573.0,0.09000000000000008,1.3299999999999998,0.4595959595959596,1
164,87.0,4,3,0.61,6.11,3,1.63,23,650.9,0.6499999999999999,1.81,0.4357142857142857,0
156,49.0,4,3,0.6,8.91,8,4.28,26,737.1,0.07999999999999985,1.53,0.4285714285714286,0
71,100.0,4,3,0.67,4.54,2,1.35,22,658.8,0.10999999999999988,1.9,0.47857142857142865,0
193,65.0,5,1,0.8,7.31,10,4.1,24,558.3,0.1200000000000001,0.8,0.43478260869565216,0
104,43.0,6,2,0.76,6.69,10,1.84,51,834.0,1.0499999999999998,1.3900000000000001,0.5428571428571429,0
159,66.0,4,3,0.67,12.4,8,4.44,45,719.7,0.3699999999999999,1.1600000000000001,0.47857142857142865,0
117,55.0,4,3,0.61,8.86,7,1.35,27,760.4,0.22999999999999998,1.56,0.4357142857142857,0
22,87.0,4,3,0.69,10.2,5,1.35,42,684.3,0.5100000000000002,1.2799999999999998,0.4928571428571428,0
285,215.0,3,1,1.03,6.15,1,1.51,12,538.1,0.20999999999999996,1.4499999999999997,0.5202020202020202,1
191,139.0,3,2,0.87,6.97,0,1.16,16,603.4,0.5899999999999999,1.48,0.47282608695652173,0
313,83.0,4,3,0.62,7.15,5,1.51,24,652.9,0.34999999999999987,0.8899999999999999,0.31313131313131315,0
174,163.0,3,2,0.91,8.55,0,1.16,16,573.0,0.47,1.36,0.4945652173913043,1
120,55.0,4,3,0.61,8.86,7,2.92,27,760.4,0.32999999999999985,1.56,0.4357142857142857,0
9,53.0,5,2,0.8647,7.29,10,1.84,8,708.6,0.96,1.48,0.6176428571428572,0
6,100.0,4,3,0.64,4.54,2,1.63,22,658.8,0.56,1.9,0.4571428571428572,0
265,83.0,4,3,0.585,7.15,5,0.852,24,652.9,0.84,0.9200000000000002,0.3179347826086956,0
263,83.0,4,3,0.585,7.15,5,1.113,24,652.9,0.7299999999999999,0.9200000000000002,0.3179347826086956,0
308,192.0,3,4,0.96,7.52,0,1.51,62,544.5,0.14000000000000012,1.38,0.48484848484848486,1
311,57.8,5,2,0.54,2.7,0,1.16,34,577.5,0.07999999999999985,0.9399999999999997,0.27272727272727276,0
90,87.0,4,3,0.64,6.11,3,2.92,25,650.9,0.07999999999999985,1.81,0.4571428571428572,0
45,83.0,4,1,0.62,7.15,5,2.92,25,652.9,0.10999999999999988,1.78,0.4428571428571429,1
290,97.0,3,2,0.75,2.99,1,2.92,34,633.1,0.18999999999999995,1.1899999999999997,0.3787878787878788,0
115,83.0,4,3,0.62,7.15,5,1.84,24,652.9,0.6599999999999999,1.78,0.4428571428571429,0
295,65.0,5,2,0.8,7.31,10,4.39,34,558.3,0.09999999999999987,0.7699999999999998,0.4040404040404041,0
65,87.0,4,3,0.64,6.11,3,4.28,23,650.9,0.20000000000000018,1.81,0.4571428571428572,0
73,83.0,4,1,0.62,7.15,5,4.28,24,652.9,0.17000000000000015,1.78,0.4428571428571429,0
18,68.0,4,3,0.65,7.44,5,1.35,25,717.3,0.09999999999999987,1.89,0.46428571428571436,0
272,160.8,2,2,1.0,1.54,0,3.14,16,589.8,0.96,1.58,0.5434782608695652,1
12,50.0,5,1,0.62,5.91,0,1.51,31,578.8,0.5,1.63,0.4428571428571429,1
221,83.0,4,3,0.585,7.15,5,0.804,24,652.9,0.8699999999999999,0.9200000000000002,0.3179347826086956,0
243,57.8,5,2,0.54,2.7,0,1.35,16,577.5,0.039999999999999813,0.97,0.29347826086956524,0
281,97.0,3,1,0.75,2.99,1,1.35,30,633.1,0.2899999999999998,1.1899999999999997,0.3787878787878788,1
277,97.0,3,1,0.75,2.99,1,1.51,12,633.1,0.050000000000000044,1.1899999999999997,0.3787878787878788,1
176,50.0,5,1,0.62,5.91,0,4.1,24,578.8,0.15000000000000013,0.77,0.33695652173913043,0
135,49.0,4,2,0.54,8.91,8,1.63,8,737.1,0.9299999999999999,1.53,0.3857142857142858,0
228,144.0,3,2,0.88,9.32,0,1.16,16,596.7,0.43999999999999995,1.33,0.47826086956521735,1
250,200.0,3,4,0.97,7.26,0,1.51,61,540.0,0.18000000000000016,1.4500000000000002,0.5271739130434783,1
130,87.0,4,3,0.6699999999999999,10.2,5,1.63,42,684.3,1.1800000000000002,1.2799999999999998,0.47857142857142854,0
129,97.0,3,1,0.75,2.99,1,1.72,21,633.1,0.41000000000000014,2.08,0.5357142857142857,0
302,137.0,3,2,0.86,9.84,1,2.92,34,523.5,0.28,1.2799999999999998,0.43434343434343436,1
79,87.0,4,3,0.64,6.11,3,1.16,23,650.9,0.06000000000000005,1.81,0.4571428571428572,0
98,62.0,4,3,0.62,7.87,6,1.63,26,762.5,0.8500000000000001,1.6099999999999999,0.4428571428571429,0
133,158.0,3,2,0.94,7.9,1,1.84,8,593.4,0.19999999999999996,2.24,0.6714285714285715,1
109,68.0,4,3,0.7479,19.3,4,1.84,74,770.0,1.3599999999999999,1.08,0.5342142857142858,1
78,215.0,3,3,1.03,6.15,1,1.9,57,538.1,0.21000000000000008,2.34,0.7357142857142858,0
220,83.0,4,1,0.62,7.15,5,2.92,25,652.9,0.10999999999999988,0.9200000000000002,0.33695652173913043,0
100,50.0,5,1,0.62,5.91,0,1.16,31,578.8,0.1200000000000001,1.63,0.4428571428571429,0
2,158.0,3,2,0.94,7.9,1,1.16,8,593.4,0.49,2.24,0.6714285714285715,1
186,139.0,3,2,0.87,6.97,0,2.92,16,603.4,0.44999999999999996,1.48,0.47282608695652173,0
198,50.0,5,2,0.62,5.91,0,1.51,16,578.8,0.5,0.77,0.33695652173913043,0
